Date,Grand Total,Territory,Zone,Item Name,Quantity,Amount
31/07/2025,912711.084,T - JARANWALA BASE,A - Jaranwala-I,Cola-2250 ml,1008,887040
31/07/2025,912711.084,T - JARANWALA BASE,A - Jaranwala-I,Twister-1000 ml,165,128700
31/07/2025,912711.084,T - JARANWALA BASE,A - Jaranwala-I,Cola-1500 ml,208,224640
31/07/2025,819140.676,T - Kotly,A - Kotly,Lemon up-1500 ml,70,75600
31/07/2025,819140.676,T - Kotly,A - Kotly,Malta-1500 ml,416,449280
31/07/2025,819140.676,T - Kotly,A - Kotly,Malta-500 ml,25,24000
31/07/2025,819140.676,T - Kotly,A - Kotly,Lemon up-500 ml,25,24000
31/07/2025,819140.676,T - Kotly,A - Kotly,Cola-1500 ml,520,561600
31/07/2025,819140.676,T - Kotly,A - Kotly,Malta-1500 ml,104,112320
29/07/2025,112798.656,T - Hazro,A - Hazro,Cola-1500 ml,160,172800
29/07/2025,894797.356,T - Bhalwal,A - Bhalwal,Cola-1500 ml,208,224640
29/07/2025,894797.356,T - Bhalwal,A - Bhalwal,Cola-2250 ml,1120,985600
30/07/2025,500517.044,T - Mitha Tawana (Qaidabad),A - Joharabad,Cola-1500 ml,312,336960
30/07/2025,500517.044,T - Mitha Tawana (Qaidabad),A - Joharabad,Cola-2250 ml,420,369600
29/07/2025,919603.495,T - Mitha Tawana (Qaidabad),A - Joharabad,Cola-1000 ml,495,386100
29/07/2025,919603.495,T - Mitha Tawana (Qaidabad),A - Joharabad,Cola-1500 ml,208,224640
29/07/2025,919603.495,T - Mitha Tawana (Qaidabad),A - Joharabad,Cola-2250 ml,180,158400
29/07/2025,919603.495,T - Mitha Tawana (Qaidabad),A - Joharabad,Lemon up-1500 ml,104,112320
29/07/2025,919603.495,T - Mitha Tawana (Qaidabad),A - Joharabad,Malta-300 ml,248,178560
29/07/2025,919603.495,T - Mitha Tawana (Qaidabad),A - Joharabad,Malta-2250 ml,112,98560
29/07/2025,919603.495,T - Mitha Tawana (Qaidabad),A - Joharabad,Twister-1000 ml,165,128700
30/07/2025,1259537.736,T - Kabal (Sawat),A - Sawat,Twister-1500 ml,100,108000
30/07/2025,1259537.736,T - Kabal (Sawat),A - Sawat,Twister-2250 ml,1780,1566400
30/07/2025,1159075.43,T - Lal Kothi (Rwp),A - Chakri Rawalpindi,Cola-2250 ml,760,668800
30/07/2025,1159075.43,T - Lal Kothi (Rwp),A - Chakri Rawalpindi,Lemon up-1500 ml,208,224640
30/07/2025,1159075.43,T - Lal Kothi (Rwp),A - Chakri Rawalpindi,Malta-300 ml,248,178560
30/07/2025,1159075.43,T - Lal Kothi (Rwp),A - Chakri Rawalpindi,Red Anar-1500 ml,208,224640
30/07/2025,1159075.43,T - Lal Kothi (Rwp),A - Chakri Rawalpindi,Malta-2250 ml,250,220000
30/07/2025,1159075.43,T - Lal Kothi (Rwp),A - Chakri Rawalpindi,Malta-2250 ml,86,75680
31/07/2025,1026467.77,T - Manawala,A - Manawala,Cola-1500 ml,1260,1360800
31/07/2025,1026467.77,T - Manawala,A - Manawala,Cola-1500 ml,196,211680
30/07/2025,439914.758,T - SHANKIARI-MANSEHRA,A - Mansehra,Twister-1500 ml,7.166,7739.28
30/07/2025,439914.758,T - SHANKIARI-MANSEHRA,A - Mansehra,Twister-1500 ml,616.834,666180.72
29/07/2025,73319.126,T - Swabi,A - Swabi,Twister-1500 ml,104,112320
30/07/2025,1015187.904,T - Swabi,A - Swabi,Twister-1500 ml,1440,1555200
30/07/2025,1098705.699,T - Bunair,A - Takht Bhai,Twister-1000 ml,1955,1524900
30/07/2025,191079.252,T - Besham,A - Besham,Twister-1000 ml,340,265200
29/07/2025,87109.659,T - Besham,A - Besham,Twister-1000 ml,155,120900
31/07/2025,1316219.318,T - UPPER DIR-WARHI,A - Timar Garha,Twister-1500 ml,15.166,16379.28
31/07/2025,1316219.318,T - UPPER DIR-WARHI,A - Timar Garha,Twister-1500 ml,1851.834,1999980.72
30/07/2025,374079.552,T - Jund,A - Pindi-Ghaib,Cola-2250 ml,560,492800
29/07/2025,92729.637,T - Islamabad- 2,A - Islamabad,Cola-1000 ml,165,128700
30/07/2025,1036337.652,T - SHERPAO-TANGI,A - Shabqadar,Twister-1500 ml,449.166,485099.28
30/07/2025,1036337.652,T - SHERPAO-TANGI,A - Shabqadar,Twister-1500 ml,1020.834,1102500.72
30/07/2025,376538.526,T - SHERPAO-TANGI,A - Shabqadar,Twister-1000 ml,670,522600
30/07/2025,-111744.231,T - Khider Wala,A - Mureed Wala,Zeera Cola-500 ML,-144,-155520
30/07/2025,-111744.231,T - Mureed Wala,A - Mureed Wala,Zeera Cola-500 ML,-144,-155520
31/07/2025,448895.463,T - Phularwan,A - Bheera,Cola-2250 ml,560,492800
31/07/2025,448895.463,T - Phularwan,A - Bheera,Malta-2250 ml,112,98560
31/07/2025,440807.422,T - Phularwan,A - Bheera,Cola-1000 ml,660,514800
31/07/2025,440807.422,T - Phularwan,A - Bheera,Water-1500 ml,208,112320
31/07/2025,224447.732,T - Jhang,A - Jhang-I,Cola-2250 ml,336,295680
31/07/2025,822975.015,T - Satellite Town (Sgd),A - Satellite Town (Sgd),Cola-2250 ml,1232,1084160
31/07/2025,834566.733,T - Amin Pur Bangla,A - Amin Pur Bangla,Cola-1000 ml,1485,1158300
31/07/2025,1223856.05,T - Haveliyan,A - Abbotabad,Cola-1500 ml,520,561600
31/07/2025,1223856.05,T - Haveliyan,A - Abbotabad,Lemon up-1500 ml,482,520560
31/07/2025,1223856.05,T - Haveliyan,A - Abbotabad,Malta-300 ml,744,535680
31/07/2025,1223856.05,T - Haveliyan,A - Abbotabad,Malta-1500 ml,104,112320
31/07/2025,1223856.05,T - Haveliyan,A - Abbotabad,Twister-300 ml,80,57600
31/07/2025,848358.984,T - Gujjar Khan,A - Gujjar Khan,Cola-2250 ml,1270,1117600
31/07/2025,1112755.644,T - Yar Hussain (Sawabi),A - Swabi,Twister-1000 ml,1320,1029600
31/07/2025,1112755.644,T - Yar Hussain (Sawabi),A - Swabi,Twister-1000 ml,660,514800
30/07/2025,927296.37,T - Jund,A - Pindi-Ghaib,Twister-1000 ml,1650,1287000
30/07/2025,455218.218,T - Jund,A - Pindi-Ghaib,Cola-1000 ml,485,378300
30/07/2025,455218.218,T - Jund,A - Pindi-Ghaib,Cola-1000 ml,325,253500
30/07/2025,185459.274,T - Jund,A - Pindi-Ghaib,Cola-1000 ml,330,257400
30/07/2025,776136.188,T - Dasu,A - Besham,Malta-1500 ml,104,112320
30/07/2025,776136.188,T - Dasu,A - Besham,Red Anar-1500 ml,208,224640
30/07/2025,776136.188,T - Dasu,A - Besham,Twister-1500 ml,554.166,598499.28
30/07/2025,776136.188,T - Dasu,A - Besham,Malta-500 ml,25,24000
30/07/2025,776136.188,T - Dasu,A - Besham,Lemon up-500 ml,25,24000
30/07/2025,776136.188,T - Dasu,A - Besham,Twister-1500 ml,182.834,197460.72
30/07/2025,42299.496,T - Dasu,A - Besham,Twister-1500 ml,60,64800
30/07/2025,748159.104,T - Charsada,A - Charsada,Twister-2250 ml,90.25,79420
30/07/2025,748159.104,T - Charsada,A - Charsada,Twister-2250 ml,1029.75,906180
30/07/2025,521039.376,T - Charsada,A - Charsada,Twister-2250 ml,780,686400
30/07/2025,149631.82,T - Charsada,A - Charsada,Twister-2250 ml,224,197120
30/07/2025,52847.424,T - Charsada,A - Charsada,Water-600 ml,144,86400
30/07/2025,185459.274,T - Charsada,A - Charsada,Twister-1000 ml,330,257400
30/07/2025,1039581.038,T - Pattan,A - Besham,Twister-1500 ml,95,102600
30/07/2025,1039581.038,T - Pattan,A - Besham,Twister-2250 ml,1456,1281280
30/07/2025,701513.279,T - Charoi,A - Mir Pur,Cola-1500 ml,120,129600
30/07/2025,701513.279,T - Charoi,A - Mir Pur,Cola-2250 ml,110,96800
30/07/2025,701513.279,T - Charoi,A - Mir Pur,Lemon up-1500 ml,208,224640
30/07/2025,701513.279,T - Charoi,A - Mir Pur,Malta-1500 ml,208,224640
30/07/2025,701513.279,T - Charoi,A - Mir Pur,Red Anar-1500 ml,180,194400
30/07/2025,701513.279,T - Charoi,A - Mir Pur,Twister-2250 ml,112,98560
30/07/2025,701513.279,T - Charoi,A - Mir Pur,Water-600 ml,132,79200
30/07/2025,146638.252,T - Charoi,A - Mir Pur,Cola-1500 ml,104,112320
30/07/2025,146638.252,T - Charoi,A - Mir Pur,Malta-1500 ml,104,112320
30/07/2025,975946.832,T - Takht Bhai,A - Takht Bhai,Twister-2250 ml,1461,1285680
30/07/2025,280559.664,T - Takht Bhai,A - Takht Bhai,Twister-2250 ml,420,369600
30/07/2025,556377.822,T - Yar Hussain (Sawabi),A - Swabi,Cola-1000 ml,660,514800
30/07/2025,556377.822,T - Yar Hussain (Sawabi),A - Swabi,Cola-1000 ml,330,257400
30/07/2025,913661.92,T - Chakri Rawalpindi,A - Rawalpindi Cantt,Cola-1000 ml,330,257400
